,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,CL,83,1584427011,75,-53.15,-70.92,46.4,14.99
1,Ushuaia,AR,40,1584427011,70,-54.8,-68.3,44.6,16.11
2,Bredasdorp,ZA,64,1584427011,87,-34.53,20.04,66.0,4.7
3,Albany,US,90,1584426927,59,42.6,-73.97,37.4,14.99
4,Saint-Philippe,RE,75,1584427011,74,-21.36,55.77,86.0,10.29
5,Camacha,PT,75,1584427012,54,33.08,-16.33,59.0,17.22
6,Banjar,ID,20,1584427012,75,-8.19,114.97,89.6,13.87
7,Hilo,US,90,1584427012,78,19.73,-155.09,73.99,5.82
8,Hermanus,ZA,52,1584427012,77,-34.42,19.23,69.01,1.01
9,East London,ZA,20,1584427012,68,-33.02,27.91,68.0,16.11
10,Garliava,LT,50,1584427013,80,54.82,23.87,33.8,1.12
11,Acajutla,SV,0,1584426975,81,13.59,-89.83,73.0,1.99
12,Mandera,KE,83,1584427013,54,3.94,41.87,86.34,10.51
13,Assiut,EG,0,1584426785,87,27.18,31.18,59.0,13.87
14,Atlantic City,US,90,1584427014,81,39.36,-74.42,44.6,5.82
15,Bilma,NE,82,1584427014,7,18.69,12.92,68.34,9.91
16,Asău,RO,64,1584427014,74,46.43,26.4,44.01,4.7
17,Ürümqi,CN,100,1584427014,28,43.8,87.6,59.0,6.71
18,Rikitea,PF,61,1584427014,84,-23.12,-134.97,80.4,9.53
19,Pedasí,PA,49,1584427014,87,7.53,-80.03,74.64,15.59
20,Haines Junction,CA,0,1584427015,73,60.75,-137.51,13.8,3.22
21,Qaanaaq,GL,5,1584427015,67,77.48,-69.36,-14.1,10.4
22,Saint Paul Harbor,US,90,1584427015,93,57.79,-152.41,37.4,5.82
23,Ponta do Sol,PT,75,1584427015,54,32.67,-17.1,59.0,16.11
24,Kysyl-Syr,RU,100,1584427015,92,63.9,122.76,16.68,7.4
25,Guangyuan,CN,99,1584427016,20,32.44,105.82,72.0,1.01
26,Namatanai,PG,50,1584427016,70,-3.67,152.43,85.62,9.8
27,La Ronge,CA,40,1584427016,60,55.1,-105.28,5.0,4.7
28,Vaini,TO,75,1584427016,83,-21.2,-175.2,84.2,16.11
29,Bethel,US,90,1584426786,74,41.37,-73.41,41.0,3.36
30,Matamoros,MX,40,1584426782,48,25.53,-103.25,68.0,1.92
31,Tasiilaq,GL,100,1584427017,78,65.61,-37.64,12.2,5.82
32,Pisco,PE,97,1584427017,83,-13.7,-76.22,71.6,11.41
33,Srednekolymsk,RU,100,1584427017,92,67.45,153.68,2.28,8.59
34,Batemans Bay,AU,0,1584427018,63,-35.72,150.18,71.01,1.99
35,Cobija,BO,100,1584427018,99,-11.03,-68.77,72.12,2.91
36,Cape Town,ZA,32,1584426876,77,-33.93,18.42,69.01,1.12
37,Yellowknife,CA,20,1584427018,57,62.46,-114.35,-13.0,4.7
38,Mahébourg,MU,75,1584427018,78,-20.41,57.7,82.0,11.41
39,Cidreira,BR,78,1584427019,79,-30.18,-50.21,72.84,10.04
40,Khatanga,RU,0,1584427019,93,71.97,102.5,-19.68,8.55
41,Cabo San Lucas,MX,23,1584426934,81,22.89,-109.91,66.99,3.0
42,Hofn,IS,100,1584427019,91,64.25,-15.21,39.18,32.06
43,Whitehorse,CA,20,1584427019,42,60.72,-135.05,26.6,5.82
44,São Filipe,CV,44,1584427019,78,14.9,-24.5,66.72,16.71
45,Samarai,PG,94,1584427020,64,-10.62,150.67,84.18,7.2
46,Castro,BR,68,1584427020,98,-24.79,-50.01,61.86,3.38
47,Tosya,TR,75,1584427020,92,41.02,34.04,23.0,1.12
48,Carnarvon,AU,53,1584427020,57,-24.87,113.63,80.6,16.11
49,Novobiryusinskiy,RU,100,1584427031,72,56.96,97.71,24.78,17.38
50,Itarema,BR,100,1584427031,93,-2.92,-39.92,73.56,3.74
51,Hithadhoo,MV,30,1584427031,72,-0.6,73.08,84.18,10.63
52,Bud,US,90,1584427031,87,39.45,-86.18,44.01,5.82
53,Arraial do Cabo,BR,92,1584427031,85,-22.97,-42.03,77.34,8.59
54,St. George's,GD,20,1584427032,88,12.06,-61.75,75.2,10.18
55,Busselton,AU,38,1584427032,41,-33.65,115.33,73.0,24.74
56,Saldanha,ZA,24,1584427032,72,-33.01,17.94,62.6,2.24
57,Lompoc,US,75,1584427033,93,34.64,-120.46,45.0,6.93
58,Naze,JP,75,1584427033,59,28.37,129.48,66.2,8.05
59,Tiksi,RU,100,1584427033,92,71.69,128.87,-6.18,5.66
60,Verkhoyansk,RU,99,1584427033,88,67.54,133.38,2.82,2.57
61,Peleduy,RU,100,1584427033,99,59.63,112.74,32.52,10.27
62,Tura,IN,3,1584427033,21,25.52,90.22,88.32,8.19
63,Yumen,CN,0,1584427034,9,40.28,97.2,54.84,25.95
64,San Cristobal,VE,40,1584427034,73,7.77,-72.22,77.0,4.7
65,Alice Springs,AU,0,1584427034,18,-23.7,133.88,91.4,10.29
66,Grand-Santi,GF,26,1584427034,89,4.25,-54.38,72.48,2.77
67,Avarua,CK,100,1584427034,83,-21.21,-159.78,80.6,14.99
68,Macao,MO,40,1584427035,83,22.2,113.55,75.0,6.93
69,Saskylakh,RU,10,1584427035,90,71.92,114.08,-25.08,13.98
70,Mataura,NZ,22,1584427035,73,-46.19,168.86,52.0,1.99
71,Kruisfontein,ZA,40,1584427035,72,-34.0,24.73,62.4,8.72
72,Idrinskoye,RU,97,1584427035,77,54.37,92.14,29.82,9.17
73,Atuona,PF,33,1584427035,73,-9.8,-139.03,82.2,11.32
74,Rewāri,IN,0,1584426756,44,28.18,76.62,77.0,9.17
75,Alta Floresta,BR,100,1584427036,98,-9.88,-56.09,70.86,2.42
76,Ilulissat,GL,14,1584427036,48,69.22,-51.1,-5.8,17.22
77,San Miguel de Cozumel,MX,5,1584427036,94,20.51,-86.95,75.99,9.57
78,Nabire,ID,72,1584427036,75,-3.37,135.48,82.74,3.2
79,Wanning,CN,100,1584427037,75,18.8,110.4,75.54,6.24
80,Fort Nelson,CA,75,1584427037,45,58.81,-122.7,26.6,9.17
81,Pacific Grove,US,1,1584427037,81,36.62,-121.92,44.6,10.29
82,Cayenne,GF,20,1584427037,94,4.93,-52.33,73.4,5.53
83,Arrondissement de Langres,FR,93,1584427037,100,47.83,5.33,46.0,2.15
84,Mount Gambier,AU,90,1584427037,19,-37.83,140.77,86.0,11.41
85,Coquimbo,CL,90,1584427038,77,-29.95,-71.34,62.6,5.82
86,Brae,GB,40,1584427038,80,60.4,-1.35,44.6,32.21
87,Antalaha,MG,28,1584427038,71,-14.9,50.28,78.78,1.74
88,Zhangaözen,KZ,100,1584427038,92,43.3,52.8,33.24,22.19
89,Margate,GB,39,1584427039,93,51.38,1.39,46.4,10.29
90,Gazojak,TM,77,1584427039,51,41.19,61.4,61.68,5.88
91,Lorengau,PG,100,1584427039,83,-2.02,147.27,79.86,13.85
92,Yarmouth,US,90,1584427039,59,41.71,-70.23,37.4,8.05
93,Enumclaw,US,1,1584427039,86,47.2,-121.99,43.0,4.9
94,Upernavik,GL,19,1584427039,49,72.79,-56.15,-17.34,8.63
95,Guerrero Negro,MX,100,1584427040,70,27.98,-114.06,59.52,10.69
96,San Patricio,MX,0,1584427040,79,19.22,-104.7,75.9,0.78
97,Zachary,US,90,1584427040,93,30.65,-91.16,69.8,4.7
98,Kapaa,US,90,1584426882,94,22.08,-159.32,75.2,17.22
99,New Norfolk,AU,80,1584427051,44,-42.78,147.06,78.01,8.05
100,Coahuayana Viejo,MX,0,1584427051,81,18.73,-103.68,69.96,3.27
101,Touros,BR,75,1584427051,94,-5.2,-35.46,77.0,4.7
102,Torbay,CA,5,1584427051,72,47.67,-52.73,17.01,6.93
103,Waingapu,ID,0,1584427051,63,-9.66,120.26,85.26,4.05
104,Hong Kong,HK,40,1584427000,73,22.29,114.16,75.0,8.05
105,Diébougou,BF,78,1584427052,44,10.97,-3.25,82.74,5.86
106,Moose Factory,CA,90,1584427052,92,51.26,-80.61,24.8,4.7
107,Khovd,MN,99,1584427052,15,48.01,91.64,47.64,1.66
108,Puerto Ayora,EC,59,1584427052,85,-0.74,-90.35,77.0,5.82
109,Baghdad,IQ,15,1584426868,68,33.34,44.4,68.0,11.41
110,Goianésia,BR,0,1584427052,93,-15.32,-49.12,66.36,2.53
111,Rawson,AR,17,1584427053,65,-43.3,-65.1,65.46,16.51
112,Manzhouli,CN,76,1584427053,87,49.6,117.43,32.52,12.28
113,Los Llanos de Aridane,ES,40,1584427053,77,28.66,-17.92,59.0,16.11
114,Hobart,AU,56,1584427053,44,-42.88,147.33,78.01,8.05
115,Ancud,CL,75,1584427053,100,-41.87,-73.82,53.6,3.36
116,Tecolutla,MX,88,1584427054,93,20.48,-97.02,72.12,3.09
117,Broken Hill,AU,7,1584427054,21,-31.95,141.43,84.2,9.17
118,Talnakh,RU,97,1584426784,84,69.49,88.4,-2.2,26.84
119,Chokurdakh,RU,0,1584427054,88,70.63,147.92,-12.3,2.06
120,Dawlatabad,AF,100,1584427054,39,36.41,64.91,69.96,5.12
121,Puerto Cabezas,NI,0,1584427054,95,14.04,-83.39,70.14,3.2
122,Kharan,PK,0,1584427055,19,28.58,65.42,74.46,3.47
123,Thompson,CA,20,1584427055,58,55.74,-97.86,-4.0,11.41
124,Longyearbyen,SJ,20,1584426828,69,78.22,15.64,-13.0,6.93
125,Muros,ES,20,1584427055,86,42.78,-9.06,51.01,8.05
126,Laas,IT,57,1584427056,93,46.62,10.7,39.0,1.12
127,Port Elizabeth,ZA,16,1584427056,72,-33.92,25.57,66.2,17.22
128,Kavaratti,IN,20,1584427056,66,10.57,72.64,86.0,4.7
129,Bathsheba,BB,40,1584427056,83,13.22,-59.52,73.4,5.82
130,Lüderitz,NA,0,1584426882,93,-26.65,15.16,63.3,8.81
131,La Plata,AR,0,1584427057,100,-34.92,-57.95,69.8,5.82
132,Zhicheng,CN,91,1584427057,30,30.3,111.5,74.46,2.77
133,Butaritari,KI,80,1584427057,75,3.07,172.79,83.64,10.54
134,Esperance,AU,40,1584427058,44,-33.87,121.9,80.6,12.75
135,Sitka,US,75,1584427058,69,57.05,-135.33,39.2,8.05
136,Olonets,RU,65,1584427058,71,60.98,32.97,28.38,3.47
137,Port Alfred,ZA,20,1584427058,83,-33.59,26.89,64.0,8.01
138,Kalmunai,LK,100,1584427058,75,7.42,81.82,83.28,13.53
139,São João da Barra,BR,62,1584427058,88,-21.64,-41.05,76.44,10.8
140,Lyngseidet,NO,100,1584427059,68,69.58,20.22,30.2,16.11
141,Chara,RU,100,1584427059,71,56.91,118.26,22.44,3.15
142,Constitución,CL,65,1584427059,75,-35.33,-72.42,55.38,2.77
143,Bluff,NZ,25,1584427059,73,-46.6,168.33,52.0,1.99
144,Lázaro Cárdenas,MX,0,1584426877,87,17.96,-102.2,73.92,2.37
145,Adré,TD,27,1584427060,15,13.47,22.2,72.48,15.7
146,Aklavik,CA,90,1584427060,78,68.22,-135.01,17.6,8.05
147,Lata,PT,20,1584427070,70,40.16,-8.33,51.01,3.36
148,Makakilo City,US,90,1584427070,100,21.35,-158.09,78.8,5.82
149,Miraflores,MX,40,1584427071,51,19.22,-98.81,59.0,4.7
150,Waipawa,NZ,100,1584427071,71,-41.41,175.52,55.4,27.51
151,Mareeba,AU,75,1584427071,78,-17.0,145.43,77.0,10.29
152,Nanortalik,GL,0,1584427071,63,60.14,-45.24,17.58,32.19
153,Laguna,US,90,1584427071,100,38.42,-121.42,46.4,4.7
154,Chicamán,GT,39,1584427071,95,15.4,-90.77,51.78,2.46
155,Tautira,PF,40,1584427072,74,-17.73,-149.15,82.4,4.7
156,Mastic Beach,US,90,1584427072,80,40.77,-72.85,42.01,14.99
157,Salalah,OM,75,1584427072,61,17.02,54.09,80.6,5.82
158,Poum,NC,1,1584427072,78,-20.23,164.02,80.22,20.92
159,Jamestown,US,90,1584426851,86,42.1,-79.24,39.99,8.05
160,Nemuro,JP,75,1584427073,64,43.32,145.57,33.8,8.05
161,Impfondo,CG,100,1584427073,89,1.64,18.07,73.38,3.24
162,Iqaluit,CA,90,1584427073,78,63.75,-68.51,8.6,16.11
163,Olafsvik,IS,98,1584427073,75,64.89,-23.71,27.3,48.27
164,Korla,CN,67,1584427073,22,41.76,86.15,46.2,4.7
165,Grindavik,IS,20,1584427073,81,63.84,-22.43,32.0,24.16
166,Los Algarrobos,PA,12,1584427074,56,8.5,-82.43,71.58,5.3
167,Lerwick,GB,40,1584427013,75,60.15,-1.15,44.6,34.45
168,Csány,HU,74,1584427074,59,47.65,19.83,39.0,4.7
169,Mar del Plata,AR,0,1584427074,100,-38.0,-57.56,62.01,13.67
170,Dingle,PH,1,1584427074,47,11.0,122.67,88.32,12.88
171,Maniitsoq,GL,66,1584427075,81,65.42,-52.9,1.74,18.68
172,Souillac,MU,75,1584427075,78,-20.52,57.52,82.0,11.41
173,Airai,TL,74,1584427075,84,-8.93,125.41,74.46,3.29
174,Nikolskoye,RU,18,1584427075,92,59.7,30.79,30.2,1.16
175,Kaitangata,NZ,50,1584427075,64,-46.28,169.85,54.0,6.78
176,Lebu,CL,3,1584427075,89,-37.62,-73.65,53.76,5.37
177,Bonavista,CA,0,1584427076,80,48.65,-53.11,17.01,1.99
178,Khandyga,RU,100,1584427076,90,62.67,135.6,7.32,2.57
179,Florø,NO,40,1584427076,75,61.6,5.03,44.6,26.4
180,Sumenep,ID,5,1584427076,67,-7.02,113.87,85.98,9.53
181,Yangi Marg`ilon,UZ,89,1584427077,25,40.43,71.72,68.0,4.7
182,Beyneu,KZ,94,1584427077,54,45.32,55.2,40.8,11.77
183,Vanimo,PG,100,1584427077,72,-2.67,141.3,82.92,6.87
184,San Rafael,AR,2,1584427077,77,-34.62,-68.33,66.36,7.27
185,Dicabisagan,PH,91,1584427077,71,17.08,122.42,75.36,6.51
186,San Vicente,AR,0,1584427077,76,-26.62,-54.13,68.34,2.84
187,Dikson,RU,100,1584426783,90,73.51,80.55,7.5,28.12
188,Saint George,US,1,1584427078,71,37.1,-113.58,52.0,4.7
189,Verkhniy Mamon,RU,0,1584427078,48,50.16,40.38,35.04,6.04
190,Agía Galíni,GR,40,1584427078,57,35.1,24.68,54.0,20.8
191,Bandi̇̄pur,NP,0,1584427079,24,27.93,84.42,79.5,3.89
192,Boca do Acre,BR,100,1584427079,99,-8.75,-67.4,72.12,1.77
193,Tuktoyaktuk,CA,90,1584427079,92,69.45,-133.04,15.8,21.92
194,Provideniya,RU,90,1584427079,97,64.38,-173.3,32.0,15.66
195,Clyde River,CA,1,1584427080,74,70.47,-68.59,-25.6,13.87
196,Shache,CN,76,1584427090,18,38.42,77.24,56.46,5.79
197,Mitsamiouli,KM,20,1584427090,62,-11.38,43.28,87.8,5.82
198,Saint-Augustin,CA,0,1584427090,80,51.23,-58.65,9.48,12.68
199,Padang,ID,92,1584427090,73,-0.95,100.35,82.38,1.19
200,Sambava,MG,33,1584426827,64,-14.27,50.17,84.54,1.92
201,Tiznit Province,MA,0,1584427091,84,29.58,-9.5,47.1,1.34
202,Caravelas,BR,98,1584427091,75,-17.71,-39.25,80.22,4.52
203,Zaragoza,ES,90,1584427088,100,41.66,-0.88,51.8,6.93
204,Soligalich,RU,95,1584427091,71,59.08,42.29,31.8,7.96
205,Kirovskiy,RU,0,1584427092,82,45.09,133.51,30.9,3.51
206,Sola,VU,100,1584427092,75,-13.88,167.55,85.08,14.45
207,Daru,PG,95,1584427092,64,-9.08,143.21,84.54,7.58
208,Yamada,JP,93,1584427092,52,39.47,141.95,44.94,10.6
209,Pudozh,RU,48,1584427092,84,61.81,36.53,24.42,4.92
210,Soe,ID,33,1584427093,58,-9.86,124.28,86.16,7.31
211,Brownsville,US,1,1584427093,88,25.9,-97.5,73.99,8.05
212,Basco,PH,5,1584427093,66,20.45,121.97,73.02,14.88
213,George Town,MY,20,1584427058,39,5.41,100.34,96.8,6.93
214,Sovetskiy,RU,92,1584427017,90,61.36,63.58,26.22,9.37
215,Kaeo,NZ,60,1584427094,66,-35.1,173.78,66.99,5.99
216,Moussoro,TD,45,1584427094,12,13.64,16.49,70.86,9.1
217,Ribeira Grande,PT,64,1584427094,87,38.52,-28.7,57.9,11.77
218,Kavieng,PG,38,1584427094,78,-2.57,150.8,83.1,14.09
219,Merrill,US,90,1584427094,74,45.18,-89.68,32.0,8.05
220,Almaznyy,RU,0,1584427094,55,48.04,40.05,35.6,2.24
221,Qaqortoq,GL,0,1584427095,56,60.72,-46.03,12.2,8.05
222,Baijiantan,CN,80,1584427095,26,45.63,85.18,54.48,4.32
223,Saurimo,AO,100,1584427095,94,-9.66,20.39,66.9,1.66
224,Thinadhoo,MV,22,1584427095,73,0.53,72.93,84.18,11.52
225,Barrow,US,90,1584427095,85,71.29,-156.79,15.8,9.17
226,Geraldton,AU,75,1584427096,64,-28.77,114.6,73.4,11.41
227,Petropavlovsk-Kamchatskiy,RU,93,1584427096,50,53.05,158.65,28.4,4.47
228,Jumla,NP,0,1584427096,95,29.27,82.18,64.99,1.01
229,Cadillac,US,90,1584426953,92,44.25,-85.4,37.4,10.29
230,Nouadhibou,MR,100,1584427096,67,20.93,-17.03,62.6,19.46
231,Santa Maria,BR,0,1584426906,95,-29.68,-53.81,62.4,4.74
232,Cherskiy,RU,55,1584427097,84,68.75,161.3,25.86,11.9
233,Vila Velha,BR,9,1584427097,94,-20.33,-40.29,75.2,3.36
234,Flin Flon,CA,33,1584427097,95,54.77,-101.86,-6.18,5.99
235,Yinchuan,CN,0,1584427097,7,38.47,106.27,60.06,3.11
236,Agadez,NE,95,1584427098,8,19.75,10.25,70.14,8.81
237,Ambilobe,MG,33,1584427098,78,-13.2,49.05,83.64,2.98
238,Kahului,US,75,1584427098,73,20.89,-156.47,75.2,8.05
239,Monroe,US,90,1584427098,75,43.15,-77.68,42.8,5.82
240,Stromness,GB,40,1584427098,75,58.97,-3.3,42.01,32.21
241,Varhaug,NO,75,1584427098,93,58.61,5.65,45.0,12.75
242,Ewo,CG,80,1584427099,91,-0.87,14.82,74.46,3.09
243,Tual,ID,3,1584427099,65,-5.67,132.75,83.28,7.81
244,Paamiut,GL,0,1584427099,47,61.99,-49.67,-0.42,8.99
245,Agarak,AM,100,1584427109,93,39.21,46.54,32.52,5.99
246,Xai-Xai,MZ,65,1584427109,77,-25.05,33.64,74.1,13.22
247,Meulaboh,ID,43,1584427110,73,4.14,96.13,82.92,3.11
248,Valparaíso,CL,40,1584426990,87,-33.04,-71.63,59.0,4.7
249,Hambantota,LK,75,1584427110,70,6.12,81.12,89.6,9.17
250,Kaduqli,SD,80,1584427110,10,11.02,29.72,81.84,18.05
251,Pevek,RU,97,1584427110,77,69.7,170.31,26.76,24.83
252,Kulhudhuffushi,MV,100,1584427111,74,6.62,73.07,83.64,12.48
253,Norman Wells,CA,90,1584427111,85,65.28,-126.83,15.8,4.7
254,Hasaki,JP,75,1584427111,53,35.73,140.83,59.0,9.17
255,Port Hedland,AU,0,1584427111,42,-20.32,118.57,98.6,14.99
256,Port Hardy,CA,5,1584427111,80,50.7,-127.42,33.8,5.82
257,Zaraza,VE,100,1584427112,84,9.35,-65.32,73.38,9.42
258,Tessalit,ML,61,1584426895,9,20.2,1.01,73.56,7.99
259,Vostok,RU,86,1584427112,84,46.49,135.88,27.48,5.59
260,Rāmkola,IN,0,1584427112,36,26.9,83.84,80.94,6.53
261,San Antero,CO,90,1584427112,84,9.37,-75.76,79.68,22.08
262,Adrar,MR,66,1584427112,24,20.5,-10.07,63.48,11.03
263,Marawi,PH,57,1584427113,82,8.0,124.29,82.0,8.01
264,Krasnosel'kup,RU,100,1584426905,87,65.7,82.47,8.58,23.29
265,Ndola,ZM,88,1584427113,95,-12.96,28.64,64.92,7.72
266,Leningradskiy,RU,100,1584427113,73,69.38,178.42,23.88,7.2
267,Taveta,KE,75,1584427113,94,-3.4,37.67,73.4,5.82
268,Pochutla,MX,10,1584427114,76,15.74,-96.47,79.0,9.62
269,Raja,SS,69,1584427114,18,8.46,25.68,80.22,3.4
270,Mossamedes,AO,100,1584427114,85,-15.2,12.15,73.92,6.42
271,Tazovsky,RU,100,1584427114,91,67.47,78.7,12.9,16.22
272,Nome,US,90,1584427114,86,64.5,-165.41,30.2,11.41
273,Barcelos,PT,8,1584426828,75,41.54,-8.62,45.0,5.82
274,Bilibino,RU,94,1584427115,88,68.05,166.44,16.86,5.79
275,Cap Malheureux,MU,75,1584427115,78,-19.98,57.61,82.0,11.41
276,Klaksvík,FO,80,1584427115,74,62.23,-6.59,37.4,21.92
277,Cusset,FR,90,1584427115,87,46.13,3.46,48.2,4.7
278,Bayir,TR,0,1584427095,19,37.27,28.22,46.4,20.8
279,Shetpe,KZ,100,1584427116,62,44.17,52.12,35.58,16.67
280,Barabai,ID,29,1584426865,48,-2.58,115.38,92.46,4.32
