,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,Viedma,AR,100,1584427116,55,-40.81,-63.0,67.8,6.4
282,Ulladulla,AU,20,1584427116,56,-35.35,150.47,71.6,12.75
283,Severo-Kuril'sk,RU,99,1584427116,71,50.68,156.12,19.56,6.11
284,Kathu,TH,20,1584427117,39,7.92,98.33,95.0,13.87
285,Narsaq,GL,0,1584427117,56,60.92,-46.05,12.2,8.05
286,Znamenskoye,RU,100,1584427117,93,57.13,73.83,28.38,12.1
287,Gorom-Gorom,BF,0,1584427117,13,14.44,-0.24,78.42,10.92
288,Águas Formosas,BR,99,1584427117,99,-17.08,-40.94,67.26,0.6
289,Praia,CV,20,1584426843,64,14.92,-23.51,68.0,16.11
290,Boden,SE,90,1584427118,83,65.83,21.69,32.0,12.75
291,Juquitiba,BR,40,1584427118,94,-23.93,-47.07,69.01,9.17
292,Sarangani,PH,81,1584427118,75,5.4,125.46,81.48,20.76
293,Emerald,AU,0,1584427118,35,-23.53,148.17,84.99,17.22
294,Girvan,GB,40,1584427128,81,55.24,-4.86,46.4,11.41
295,Port Moresby,PG,75,1584427024,66,-9.44,147.18,87.8,5.82
296,Ivanteyevka,RU,95,1584427129,51,55.97,37.92,37.4,8.95
297,Ostrovnoy,RU,5,1584427129,85,68.05,39.51,16.68,20.27
298,Emba,KZ,32,1584427129,75,48.83,58.14,25.86,7.31
299,Dhenkānāl,IN,20,1584427129,46,20.67,85.6,91.4,1.12
300,Antofagasta,CL,20,1584427130,82,-23.65,-70.4,62.6,2.24
301,Shakawe,BW,72,1584427130,76,-18.37,21.85,70.86,10.56
302,Khuzhir,RU,33,1584427130,70,53.19,107.34,34.14,17.67
303,Litovko,RU,83,1584427130,85,49.24,135.17,26.94,9.06
304,Payson,US,1,1584427130,43,40.04,-111.73,50.0,16.11
305,Lysyanka,UA,100,1584427131,46,49.25,30.83,36.48,15.3
306,Jingdezhen,CN,100,1584427131,77,29.29,117.21,60.42,6.64
307,Lindi,TZ,100,1584427131,89,-10.0,39.72,77.7,2.62
308,Madison Heights,US,90,1584427048,86,42.49,-83.11,39.99,6.93
309,Hay River,CA,40,1584427131,70,60.82,-115.8,-5.8,4.7
310,Harper,LR,99,1584427132,95,4.38,-7.72,76.08,2.98
311,Tezu,IN,4,1584427132,21,27.92,96.17,82.92,4.81
312,Sibolga,ID,0,1584426946,43,1.74,98.78,92.46,2.64
313,Sovetskaya Gavan',RU,1,1584427132,69,48.97,140.29,28.92,11.45
314,Bubaque,GW,18,1584427133,57,11.28,-15.83,76.8,15.37
315,Grand Gaube,MU,75,1584427133,78,-20.01,57.66,82.0,11.41
316,Lashio,MM,5,1584427133,14,22.93,97.75,89.22,7.2
317,Huambo,AO,75,1584427133,100,-12.78,15.74,62.6,6.93
318,Codrington,AU,93,1584427133,52,-38.27,141.97,70.68,8.95
319,Iwanai,JP,99,1584427134,76,42.97,140.51,37.38,13.87
320,Jacareacanga,BR,81,1584427134,92,-6.22,-57.75,72.48,1.07
321,San Borja,BO,93,1584427134,97,-14.82,-66.85,72.48,1.88
322,Chui,UY,0,1584427135,79,-33.7,-53.46,62.22,5.3
323,Quatre Cocos,MU,75,1584427135,78,-20.21,57.76,82.0,11.41
324,Sarankhola,BD,10,1584427135,25,22.31,89.79,94.08,0.94
325,Atar,MR,100,1584427136,29,20.52,-13.05,63.3,11.18
326,Tocopilla,CL,14,1584427136,53,-22.09,-70.2,54.84,3.31
327,Yar-Sale,RU,100,1584427136,94,66.83,70.83,21.18,17.72
328,Castanhal,BR,98,1584427136,100,-1.29,-47.93,75.2,2.24
329,Chongqing,CN,20,1584427085,63,29.56,106.55,62.6,6.71
330,Faanui,PF,28,1584427136,67,-16.48,-151.75,83.82,4.18
331,Vestmannaeyjar,IS,100,1584427137,79,63.44,-20.27,39.9,18.68
332,State of Wyoming,US,100,1584427137,93,43.0,-107.5,26.01,13.35
333,Mombetsu,JP,40,1584427137,38,44.35,143.35,39.2,12.75
334,Flinders,AU,20,1584427137,56,-34.58,150.86,73.99,12.75
335,Trelew,AR,8,1584427137,47,-43.25,-65.31,65.1,10.89
336,Mikhaylovka,RU,0,1584427137,48,50.06,43.24,34.68,6.4
337,San Jerónimo,PE,92,1584427138,90,-11.95,-75.28,42.6,1.34
338,Rudnaya Pristan',RU,0,1584427138,60,44.36,135.81,34.68,5.68
339,Maţāy,EG,0,1584427138,78,28.42,30.78,59.16,13.87
340,Nueve de Julio,AR,42,1584426946,89,-35.44,-60.88,63.0,3.0
341,Oranjemund,NA,0,1584427138,81,-28.55,16.43,64.38,3.2
342,Verkhnevilyuysk,RU,88,1584427139,93,63.45,120.32,13.62,5.99
343,Bambous Virieux,MU,75,1584427149,78,-20.34,57.76,82.0,11.41
344,Fairbanks,US,100,1584427090,74,64.84,-147.72,27.0,1.45
345,Kandi,BJ,100,1584427149,11,11.13,2.94,72.66,5.26
346,Nishihara,JP,20,1584427149,56,26.18,127.76,69.8,6.93
347,Okhotsk,RU,6,1584427149,73,59.38,143.3,11.82,8.41
348,Beaverlodge,CA,40,1584427150,57,55.22,-119.44,23.0,2.24
349,Avera,US,90,1584427150,87,33.19,-82.53,57.99,3.36
350,Marzuq,YE,71,1584427150,39,14.4,46.47,82.02,5.01
351,Isangel,VU,90,1584427150,79,-19.55,169.27,84.2,11.41
352,Ixtapa,MX,5,1584427150,94,20.7,-105.2,71.6,2.24
353,Itiúba,BR,82,1584427151,90,-10.69,-39.85,70.5,2.68
354,Mimongo,GA,100,1584427151,97,-1.62,11.61,68.34,2.28
355,Goya,AR,0,1584427151,70,-29.14,-59.26,73.74,9.01
356,Lavras,BR,97,1584427151,92,-21.25,-45.0,63.84,1.48
357,Juneau,US,40,1584427051,92,58.3,-134.42,34.0,3.36
358,Mezen',RU,41,1584427151,77,65.85,44.24,22.98,14.52
359,Richards Bay,ZA,100,1584427152,61,-28.78,32.04,71.58,8.63
360,Silva Jardim,BR,100,1584427152,94,-22.65,-42.39,69.06,4.38
361,Launceston,AU,49,1584426953,59,-41.45,147.17,68.0,16.11
362,Lima,PE,90,1584427152,83,-12.04,-77.03,73.4,13.87
363,Sukhothai,TH,20,1584427153,47,17.25,99.67,102.0,5.82
364,Palana,RU,100,1584427153,91,59.12,159.97,18.12,26.22
365,Yazykovo,RU,25,1584427153,85,55.22,56.14,26.94,12.17
366,Seymchan,RU,100,1584427153,88,62.88,152.43,4.8,7.74
367,Gillette,US,19,1584427153,90,44.29,-105.5,26.01,5.01
368,Balabac,PH,30,1584427154,62,7.99,117.06,84.9,12.82
369,Port Hawkesbury,CA,1,1584427154,92,45.62,-61.35,21.99,4.7
370,Parabel',RU,44,1584427154,80,58.7,81.48,22.98,6.58
371,Kirakira,SB,100,1584427154,83,-10.45,161.92,82.2,5.48
372,Santa Vitória do Palmar,BR,0,1584427154,79,-33.52,-53.37,62.22,5.3
373,Progreso,MX,5,1584427154,61,21.28,-89.67,77.0,9.17
374,Marovoay,MG,20,1584427155,66,-16.1,46.63,87.8,2.24
375,Ustupo,PA,44,1584427155,91,9.13,-77.93,73.38,6.42
376,Lensk,RU,100,1584427155,97,60.73,114.93,30.36,3.76
377,Seoul,KR,75,1584426913,62,37.57,126.98,55.4,5.82
378,Pangnirtung,CA,90,1584427155,64,66.15,-65.71,-2.2,3.36
379,Kirgiz-Miyaki,RU,82,1584427156,93,53.63,54.8,25.68,14.61
380,Roald,NO,75,1584427156,86,62.58,6.13,43.0,27.51
381,Prince Albert,CA,40,1584427137,71,53.2,-105.77,8.6,3.36
382,Marsh Harbour,BS,79,1584427156,81,26.54,-77.06,72.12,10.76
383,Santa Cruz de Barahona,DO,0,1584427156,67,18.21,-71.1,77.16,2.48
384,Benghazi,LY,0,1584427156,62,32.12,20.07,54.84,17.96
385,Ahipara,NZ,4,1584427157,70,-35.17,173.17,65.82,23.89
386,Jiangyou,CN,100,1584427157,30,31.77,104.72,61.14,5.57
387,Gweta,BW,22,1584427157,63,-20.18,25.23,71.76,16.89
388,Shingū,JP,20,1584427157,62,33.73,135.98,53.6,5.82
389,Roshchino,RU,40,1584427157,92,60.25,29.61,33.01,3.58
390,Lakhtar,IN,30,1584427158,12,22.85,71.78,92.64,13.35
391,High Level,CA,90,1584427158,72,58.52,-117.14,17.6,9.17
392,Tambopata,PE,100,1584427168,98,-12.73,-69.18,73.56,2.64
393,Phan Thiet,VN,35,1584427156,40,10.93,108.1,91.2,17.52
394,Pokaran,IN,0,1584427168,18,26.92,71.92,82.02,7.58
395,Nurota,UZ,90,1584427169,43,40.56,65.69,69.8,4.7
396,Mercedes,AR,0,1584427169,61,-34.65,-59.43,63.0,1.99
397,Beloha,MG,19,1584427169,65,-25.17,45.05,78.78,7.45
398,Piaçabuçu,BR,100,1584427169,86,-10.41,-36.43,77.16,4.85
399,São Gabriel da Cachoeira,BR,100,1584427169,97,-0.13,-67.09,72.84,1.19
400,Pecos,US,1,1584427170,88,31.42,-103.49,66.0,12.75
401,La Rioja,ES,75,1584427170,100,42.25,-2.5,44.6,1.12
402,Port Lincoln,AU,87,1584427170,26,-34.73,135.87,86.88,9.17
403,Firozpur,IN,0,1584427170,47,30.92,74.6,75.2,4.7
404,Vagay,RU,100,1584427171,95,57.94,69.02,31.08,12.03
405,Fairlie,GB,75,1584427171,87,55.76,-4.86,46.4,13.87
406,Esim,GH,100,1584427171,93,4.87,-2.24,77.88,4.25
407,Staryy Nadym,RU,100,1584427171,81,65.61,72.68,20.1,21.72
408,Kashan,IR,95,1584427172,36,33.98,51.44,66.36,1.01
409,Alofi,NU,78,1584427172,78,-19.06,-169.92,82.4,6.93
410,Pundaguitan,PH,64,1584427172,68,6.37,126.17,82.38,5.01
411,Noumea,NC,20,1584426918,65,-22.28,166.46,80.6,11.41
412,Fonte Boa,BR,100,1584427172,96,-2.5,-66.27,72.3,0.6
413,Kiryat Gat,IL,40,1584427173,77,31.61,34.76,64.99,9.17
414,Havre-St-Pierre,CA,40,1584427173,84,50.23,-63.6,1.4,6.93
415,Lakatoro,VU,90,1584427173,83,-16.1,167.42,82.4,5.82
416,Kayerkan,RU,98,1584427173,84,69.35,87.76,-2.2,26.84
417,Sayyan,YE,97,1584427173,42,15.17,44.32,67.8,5.08
418,Yenagoa,NG,100,1584427173,88,4.92,6.26,79.68,1.86
419,Vila Franca do Campo,PT,20,1584427174,87,37.72,-25.43,51.8,3.36
420,Prince Rupert,CA,1,1584427174,70,54.32,-130.32,33.8,6.93
421,Zhezkazgan,KZ,90,1584427174,70,47.8,67.71,42.8,15.66
422,Banfora,BF,88,1584427174,48,10.63,-4.77,81.84,4.03
423,Broome,US,90,1584427175,93,42.25,-75.83,37.99,8.05
424,Isla Vista,US,1,1584427113,93,34.41,-119.86,46.4,8.05
425,Ténenkou,ML,8,1584427175,10,14.46,-4.92,76.44,11.63
426,Jizan,SA,20,1584427175,66,17.33,42.67,84.2,6.93
427,Shelburne,CA,75,1584427176,80,44.08,-80.2,36.0,5.82
428,Gaza,PS,40,1584427176,77,31.5,34.47,64.99,9.17
429,Belmonte,BR,40,1584427176,88,-15.86,-38.88,75.2,2.24
430,Ciudad Bolivar,VE,63,1584427176,83,8.12,-63.55,74.46,10.09
431,Aksu,CN,10,1584427176,15,41.12,80.26,58.44,5.77
432,Dhidhdhoo,MV,96,1584427176,73,6.88,73.1,83.46,11.65
433,Hualmay,PE,99,1584427177,77,-11.1,-77.61,72.3,3.69
434,Nyurba,RU,71,1584427177,91,63.28,118.33,13.26,6.62
435,Victor Harbor,AU,82,1584427177,19,-35.57,138.62,89.01,12.75
436,Elizabeth City,US,75,1584427177,93,36.29,-76.25,46.99,9.28
437,San Blas,MX,0,1584427177,71,21.52,-105.27,73.74,7.16
438,Katobu,ID,84,1584427178,85,-4.94,122.53,81.48,3.38
439,Nisibis,TR,75,1584427178,82,37.08,41.22,59.0,13.87
440,Shimoda,JP,20,1584427178,43,34.67,138.95,57.2,14.99
441,Bengkulu,ID,21,1584427188,66,-3.8,102.27,86.52,5.84
442,Örnsköldsvik,SE,75,1584427188,74,63.29,18.72,33.8,16.11
443,Ouésso,CG,98,1584427189,90,1.61,16.05,74.82,3.62
444,Baykit,RU,52,1584427189,73,61.67,96.37,18.66,12.5
445,Vao,NC,28,1584427189,75,-22.67,167.48,78.06,16.04
446,Basoko,CD,100,1584427189,93,1.24,23.62,73.92,3.49
447,Edson,CA,75,1584427189,54,53.58,-116.44,30.2,6.93
448,Jerome,US,90,1584427190,70,42.72,-114.52,48.0,20.8
449,Mehamn,NO,90,1584427190,92,71.04,27.85,24.8,29.97
450,Methóni,GR,0,1584427190,34,36.82,21.7,48.2,6.93
451,Bara,NG,38,1584427190,14,10.37,10.73,64.56,2.84
452,Rabo de Peixe,PT,20,1584427190,87,37.8,-25.58,51.8,3.36
453,Kumul,CN,11,1584427191,15,42.8,93.45,55.92,4.5
454,Daura,NG,68,1584427191,12,11.55,11.41,67.62,8.32
455,Lake Shasta,US,90,1584427191,93,40.68,-122.37,46.4,4.7
456,Nkhata Bay,MW,100,1584427191,71,-11.61,34.29,79.14,6.93
457,Key West,US,20,1584426910,73,24.56,-81.78,75.99,11.41
458,Necochea,AR,28,1584427191,95,-38.55,-58.74,57.99,5.01
459,Lambaréné,GA,100,1584427192,96,-0.7,10.24,74.28,1.99
460,Tshikapa,CD,100,1584427192,94,-6.42,20.8,71.4,4.43
461,Maba,CN,100,1584427192,94,24.68,113.6,59.16,1.54
462,Jadu,LY,3,1584427192,75,31.95,12.03,55.38,18.99
463,Saint-Joseph,RE,75,1584427192,74,-21.37,55.62,86.0,10.29
464,Indiaroba,BR,100,1584427193,94,-11.52,-37.51,74.64,2.89
465,Safi,MA,8,1584427193,87,32.3,-9.24,44.94,6.17
466,Zhigansk,RU,97,1584427193,92,66.77,123.37,-6.72,15.93
467,Makkah al Mukarramah,SA,10,1584426942,55,21.43,39.83,75.72,1.97
468,Kieta,PG,88,1584427193,67,-6.22,155.63,84.18,4.09
469,Polohy,UA,0,1584427193,47,47.48,36.25,35.22,2.93
470,Dzhalil',RU,17,1584427194,80,55.02,52.74,27.48,15.95
471,Lucea,JM,20,1584427194,69,18.45,-78.17,75.2,6.93
472,Bayonet Point,US,1,1584427194,83,28.33,-82.68,73.4,6.93
473,Amapá,BR,95,1584427194,99,1.0,-52.0,70.68,1.7
474,Te Anau,NZ,0,1584427194,54,-45.42,167.72,53.04,5.57
475,Bandarbeyla,SO,100,1584427195,80,9.49,50.81,79.5,11.83
476,Yamethin,MM,57,1584427195,15,20.43,96.15,97.68,10.18
477,Sørland,NO,75,1584427195,86,67.67,12.69,37.4,40.26
478,Zhangye,CN,0,1584427195,12,38.93,100.45,54.3,8.57
479,Preston,GB,20,1584427195,87,53.77,-2.72,51.8,14.99
480,Northport,US,1,1584427195,82,33.23,-87.58,66.2,3.36
481,San Quintín,MX,53,1584426948,70,30.48,-115.95,56.46,3.71
482,Miyazu,JP,20,1584427196,44,35.53,135.18,59.0,10.29
483,Muş Province,TR,75,1584427196,87,39.0,41.75,42.8,19.46
484,Homer,US,1,1584427196,74,59.64,-151.55,34.0,5.82
485,Sinnamary,GF,11,1584427196,79,5.38,-52.95,79.86,14.14
486,Fortuna,US,90,1584427197,87,40.6,-124.16,44.6,1.99
487,Marystown,CA,21,1584427086,61,47.17,-55.15,26.22,4.27
488,Romny,UA,100,1584427197,50,50.75,33.47,36.3,13.78
489,Sansepolcro,IT,2,1584427197,86,43.57,12.14,46.99,2.24
490,Lubao,PH,75,1584427207,55,14.92,120.55,89.6,2.24
491,Eureka,US,90,1584427208,75,40.8,-124.16,44.6,9.17
492,Palencia,ES,41,1584427208,86,42.42,-4.5,44.01,11.01
493,Cefalù,IT,25,1584427208,79,38.04,14.02,53.01,1.99
494,Hurghada,EG,0,1584427105,60,27.26,33.81,69.8,17.22
495,Nago,JP,1,1584427208,49,26.59,127.98,69.8,8.05
496,Chumikan,RU,61,1584427209,74,54.72,135.31,29.82,12.53
497,Port Macquarie,AU,35,1584427065,77,-31.43,152.92,69.01,11.41
498,Zharkent,KZ,100,1584427209,18,44.16,80.0,60.78,12.86
499,Tevaitoa,PF,65,1584427209,72,-16.78,-151.5,83.1,7.92
500,Sept-Îles,CA,90,1584427209,78,50.2,-66.38,10.4,8.05
501,Piteå,SE,90,1584427209,82,65.32,21.48,33.01,12.75
502,Nantucket,US,90,1584427210,69,41.28,-70.1,37.4,17.22
503,Anadyr,RU,75,1584427210,92,64.75,177.48,28.4,44.74
504,Berlevåg,NO,90,1584427210,92,70.86,29.09,24.8,29.97
505,Oddur,SO,78,1584427210,68,4.12,43.89,79.5,21.72
506,Fécamp,FR,75,1584427211,100,49.76,0.37,41.0,4.7
507,Ispas,UA,77,1584427211,55,48.3,25.27,37.4,4.61
508,Magistral'nyy,RU,100,1584427211,74,56.17,107.45,31.62,12.64
509,Katsuura,JP,75,1584427211,70,35.13,140.3,55.0,8.05
510,Ayan,RU,69,1584427211,71,56.45,138.17,26.4,3.65
511,Boundiali,CI,78,1584427212,74,9.52,-6.49,75.0,5.57
512,Russell,US,90,1584427212,77,32.35,-85.2,63.0,5.82
513,Kalat,PK,0,1584427212,26,29.02,66.59,58.44,7.23
514,Kuldīga,LV,4,1584427212,100,56.97,21.96,30.2,1.12
515,Shitanjing,CN,0,1584427212,7,39.23,106.34,59.16,2.42
516,Yeppoon,AU,20,1584427213,45,-23.13,150.73,84.2,8.05
517,Dongsheng,CN,0,1584427213,16,39.82,109.98,55.2,18.05
518,Craig,US,1,1584427074,74,40.52,-107.55,37.99,4.7
519,Coolum Beach,AU,0,1584426950,68,-26.53,153.1,75.0,4.0
520,Imbituba,BR,75,1584427023,64,-28.24,-48.67,75.2,5.82
521,Paita,PE,100,1584427214,68,-5.09,-81.11,79.14,4.21
522,Praia da Vitória,PT,40,1584427214,77,38.73,-27.07,60.8,15.21
523,Luanda,AO,40,1584427185,83,-8.84,13.23,80.6,2.55
524,Kahramanmaraş Province,TR,75,1584427214,87,38.0,37.0,53.6,2.24
525,Freeport,US,90,1584427043,87,40.66,-73.58,44.01,8.05
526,Swansea,GB,100,1584426927,100,51.62,-3.94,48.2,26.4
527,Arkhangelsk,RU,42,1584427215,79,64.54,40.54,26.6,11.18
528,Dunedin,NZ,28,1584427215,64,-45.87,170.5,54.0,5.86
529,Purpe,RU,100,1584427215,65,64.48,76.69,19.0,3.0
530,Khani,GE,90,1584427215,93,41.96,42.96,37.4,4.7
531,Mogadishu,SO,75,1584427216,62,2.04,45.34,87.8,18.34
532,Haysville,US,90,1584427216,93,37.56,-97.35,45.0,9.17
533,Puerto Ayacucho,VE,88,1584427216,74,5.66,-67.62,75.54,2.62
534,Koson,UZ,40,1584427216,43,39.04,65.58,69.8,2.24
535,Mingguang,CN,99,1584427216,38,32.78,117.96,72.12,13.31
536,Hamilton,US,90,1584426930,75,39.18,-84.53,45.0,5.82
537,Sur,OM,0,1584427217,36,22.57,59.53,76.44,5.28
538,Moyale,KE,8,1584427217,51,3.52,39.06,81.84,9.82
539,De Aar,ZA,12,1584427227,77,-30.65,24.01,62.6,2.24
540,Ilhéus,BR,77,1584427228,91,-14.79,-39.05,73.56,5.35
541,Lokoja,NG,85,1584427228,83,7.8,6.74,78.24,7.11
542,Oktyabr'skoye,RU,75,1584427228,86,43.06,44.74,30.2,13.42
543,Tuatapere,NZ,1,1584427228,73,-46.13,167.68,51.01,3.0
544,Kamari,GR,20,1584427228,66,36.8,25.82,51.8,27.51
545,Departamento de Maldonado,UY,0,1584427228,84,-34.67,-54.92,61.0,1.01
546,Ribeira Brava,PT,40,1584427229,51,32.65,-17.07,59.0,20.8
547,Coyhaique,CL,49,1584427229,97,-45.58,-72.07,45.84,4.68
548,Lydenburg,ZA,35,1584427229,96,-25.1,30.46,52.0,3.0
549,Lagoa,PT,0,1584427229,78,39.05,-27.98,61.68,10.27
550,Qasigiannguit,GL,14,1584427229,48,68.82,-51.19,-5.8,17.22
551,Cervo,ES,59,1584427230,1,43.67,-7.41,52.0,6.82
552,Bugiri,UG,46,1584427230,80,0.57,33.74,72.3,3.04
553,Husavik,IS,90,1584427230,80,66.04,-17.34,30.2,14.99
554,Buala,SB,49,1584427230,75,-8.14,159.59,82.74,3.42
555,Thurso,GB,32,1584427230,82,58.59,-3.53,42.01,20.8
556,Cessnock,AU,75,1584427231,68,-32.83,151.35,73.0,10.29
557,Morondava,MG,0,1584427231,70,-20.28,44.28,83.82,1.25
558,Oussouye,SN,31,1584427231,63,12.48,-16.55,67.62,8.34
559,Port Blair,IN,94,1584427231,73,11.67,92.75,83.46,10.74
560,Okha,RU,100,1584427231,78,53.57,142.95,22.26,6.4
561,Makat,KZ,65,1584427232,40,47.65,53.35,37.92,5.84
562,Rapid City,US,90,1584427232,86,44.08,-103.23,28.0,9.17
